USER,SESSION,SESSION_SEDENTARY,SESSION_IN_VEHICLE,SESSION_START_TIMESTAMP,SESSION_END_TIMESTAMP,SESSION_DURATION,SESSION_SUCCESSFUL,SESSION_DATE,ACTIVITY,ACTIVITY_TYPE,ACTIVITY_TIMESTAMP
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,49-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578571131274,1578573019395,1888121,true,09/01/2020,69-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578571131290
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,49-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578571131274,1578573019395,1888121,true,09/01/2020,70-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578572873266
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,50-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578573019400,1578573175310,155910,true,09/01/2020,71-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578573019439
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,51-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578573175322,1578574449713,1274391,true,09/01/2020,72-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578573175346
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,51-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578573175322,1578574449713,1274391,true,09/01/2020,73-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578574180807
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,52-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578574449717,1578578375802,3926085,false,09/01/2020,74-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578574449751
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,53-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578578375811,1578578525240,149429,true,09/01/2020,75-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578578375822
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,54-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578578525242,1578582534670,4009428,false,09/01/2020,76-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578578525260
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,54-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578578525242,1578582534670,4009428,false,09/01/2020,77-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578581755478
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,55-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578582534678,1578582853848,319170,true,09/01/2020,78-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578582534693
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,56-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578582853879,1578584890233,2036354,false,09/01/2020,79-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578582853894
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,57-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,true,1578584890238,1578585761514,871276,true,09/01/2020,80-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,0,1578584890253
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,58-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,true,false,1578585761519,1578586496762,735243,true,09/01/2020,81-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,3,1578585761534
nEAU9xMGL3UiHSmIY2UfKDhLzSp1,59-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,false,false,1578586496766,1578588371230,1874464,true,09/01/2020,82-nEAU9xMGL3UiHSmIY2UfKDhLzSp1,7,1578586496804
